jsonl_name,HR@1,NDCG@1,HR@3,NDCG@3,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20
FS-SFT-67557,0.007290,0.007290,0.011424,0.009685,0.012839,0.010279,0.015776,0.011247,0.016538,0.011437
FS-SFT-77208,0.009466,0.009466,0.015776,0.013105,0.018279,0.014126,0.021216,0.015063,0.022957,0.015510
FS-SFT-86859,0.012947,0.012947,0.019693,0.016947,0.022087,0.017949,0.023719,0.018459,0.025460,0.018914
FS-SFT-96510,0.015232,0.015232,0.021760,0.019023,0.025242,0.020461,0.028180,0.021418,0.030356,0.021964
FS-SFT-106161,0.016973,0.016973,0.023284,0.020769,0.025024,0.021510,0.027527,0.022331,0.029050,0.022723
FS-SFT-115812,0.019802,0.019802,0.027527,0.024334,0.029703,0.025252,0.031553,0.025840,0.033185,0.026267
FS-SFT-125463,0.019367,0.019367,0.026548,0.023570,0.028615,0.024436,0.031226,0.025278,0.032967,0.025725
FS-SFT-135114,0.019040,0.019040,0.027309,0.023901,0.029921,0.024983,0.031879,0.025614,0.034055,0.026168
FS-SFT-144765,0.019149,0.019149,0.026874,0.023710,0.028941,0.024571,0.030465,0.025069,0.032423,0.025569
R-SFT-1500,0.019584,0.019584,0.027418,0.024128,0.030573,0.025420,0.033185,0.026271,0.036340,0.027061
R-SFT-3000,0.019584,0.019584,0.026330,0.023613,0.028180,0.024357,0.031117,0.025322,0.033402,0.025910
R-SFT-4500,0.019911,0.019911,0.026657,0.023868,0.029159,0.024903,0.031661,0.025711,0.034381,0.026392
R-SFT-6000,0.020455,0.020455,0.027745,0.024712,0.029812,0.025569,0.032205,0.026345,0.034490,0.026922
R-SFT-7500,0.020237,0.020237,0.027962,0.024883,0.030138,0.025787,0.033620,0.026919,0.035905,0.027488
R-SFT-9000,0.020455,0.020455,0.026874,0.024263,0.029159,0.025209,0.032097,0.026162,0.034273,0.026723
R-SFT-10500,0.020564,0.020564,0.026439,0.024057,0.029377,0.025260,0.032749,0.026370,0.035361,0.027028
R-SFT-11500,0.021652,0.021652,0.027962,0.025320,0.029812,0.026069,0.032532,0.026947,0.033837,0.027291
R-SFT-early-1020,0.017517,0.017517,0.024480,0.021569,0.027092,0.022646,0.030573,0.023745,0.032858,0.024332
R-SFT-early-2040,0.016973,0.016973,0.024480,0.021453,0.026548,0.022305,0.028941,0.023084,0.031444,0.023728
R-SFT-early-3060,0.017191,0.017191,0.023936,0.021219,0.026874,0.022451,0.030356,0.023568,0.032097,0.024003
R-SFT-early-4080,0.018714,0.018714,0.025568,0.022811,0.028615,0.024066,0.031226,0.024932,0.033185,0.025424
R-SFT-early-5100,0.018823,0.018823,0.023828,0.021781,0.027309,0.023214,0.029594,0.023975,0.031770,0.024520
R-SFT-early-6120,0.018170,0.018170,0.023392,0.021237,0.025786,0.022206,0.028289,0.023046,0.030791,0.023691
R-SFT-early-6400,0.018388,0.018388,0.024263,0.021867,0.026657,0.022864,0.029159,0.023669,0.031226,0.024190
R-SFT-early-6800,0.018605,0.018605,0.024372,0.022015,0.027309,0.023233,0.029921,0.024070,0.031226,0.024401
R-SFT-early-7140,0.017517,0.017517,0.024807,0.021803,0.027527,0.022913,0.029812,0.023647,0.031988,0.024210
R-SFT-early-7200,0.017082,0.017082,0.023175,0.020641,0.025568,0.021629,0.028941,0.022727,0.031226,0.023303
R-SFT-early-7600,0.017626,0.017626,0.023610,0.021174,0.026439,0.022325,0.028833,0.023106,0.030791,0.023603
R-SFT-early-8160,0.017735,0.017735,0.024263,0.021654,0.026874,0.022731,0.029703,0.023639,0.031117,0.023997
R-SFT-early-9180,0.018496,0.018496,0.025133,0.022313,0.028180,0.023540,0.030247,0.024208,0.031879,0.024624
R-SFT-early-10200,0.017300,0.017300,0.024589,0.021600,0.027309,0.022714,0.029485,0.023417,0.031770,0.024013
R-SFT-early-11220,0.017517,0.017517,0.024154,0.021448,0.027092,0.022666,0.028506,0.023128,0.030247,0.023572
R-SFT-early-12240,0.017191,0.017191,0.025024,0.021763,0.028397,0.023163,0.030682,0.023920,0.032749,0.024452
R-SFT-early-13260,0.017082,0.017082,0.023610,0.021030,0.026004,0.022027,0.028615,0.022878,0.030138,0.023256
R-SFT-early-14280,0.018823,0.018823,0.026113,0.023137,0.028071,0.023947,0.029812,0.024492,0.030900,0.024777
R-SFT-early-15300,0.017082,0.017082,0.024045,0.021091,0.026221,0.021990,0.028941,0.022893,0.030465,0.023285
R-SFT-early-16320,0.017082,0.017082,0.024045,0.021262,0.026221,0.022156,0.029377,0.023175,0.030791,0.023542
R-SFT-early-17340,0.018279,0.018279,0.024480,0.022006,0.027201,0.023116,0.029377,0.023830,0.030791,0.024207
R-SFT-early-18360,0.017517,0.017517,0.023828,0.021285,0.027309,0.022722,0.030247,0.023665,0.032314,0.024186
R-SFT-early-19380,0.017082,0.017082,0.023610,0.020902,0.026221,0.021983,0.028833,0.022827,0.030247,0.023191
R-SFT-early-20400,0.017082,0.017082,0.023610,0.020959,0.026330,0.022092,0.029050,0.022962,0.030247,0.023265
R-SFT-early-21420,0.016429,0.016429,0.023936,0.020738,0.026548,0.021815,0.029703,0.022835,0.030900,0.023138
R-SFT-early-22440,0.016320,0.016320,0.023610,0.020663,0.026657,0.021937,0.028615,0.022571,0.030573,0.023065
R-SFT-early-22995,0.016429,0.016429,0.024480,0.021167,0.026657,0.022080,0.029159,0.022893,0.030682,0.023284
