jsonl_name,HR@1,NDCG@1,HR@3,NDCG@3,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20
FS-SFT-30000,0.008955,0.008955,0.014318,0.012127,0.015723,0.012705,0.016609,0.013000,0.016713,0.013026
FS-SFT-40000,0.017546,0.017546,0.023481,0.021079,0.024939,0.021684,0.025720,0.021945,0.026188,0.022071
FS-SFT-50000,0.020722,0.020722,0.026345,0.024078,0.027438,0.024536,0.027959,0.024704,0.028375,0.024811
FS-SFT-60000,0.021555,0.021555,0.026553,0.024565,0.027959,0.025145,0.028583,0.025362,0.028792,0.025418
FS-SFT-70000,0.021815,0.021815,0.027126,0.025036,0.028011,0.025401,0.029104,0.025761,0.029625,0.025893
FS-SFT-80000,0.022179,0.022179,0.027334,0.025227,0.028375,0.025657,0.029416,0.026007,0.030093,0.026184
FS-SFT-90000,0.022544,0.022544,0.027646,0.025565,0.028583,0.025958,0.029833,0.026365,0.030354,0.026502
FS-SFT-100000,0.022440,0.022440,0.027646,0.025520,0.028792,0.025991,0.029781,0.026305,0.030458,0.026484
FS-SFT-110000,0.022179,0.022179,0.027802,0.025529,0.028896,0.025977,0.030041,0.026354,0.030718,0.026530
R-SFT-1000,0.021919,0.021919,0.027906,0.025506,0.028740,0.025855,0.030301,0.026367,0.030770,0.026493
R-SFT-2000,0.022179,0.022179,0.027802,0.025475,0.029104,0.026017,0.030718,0.026540,0.031447,0.026725
R-SFT-3000,0.022544,0.022544,0.027959,0.025797,0.029000,0.026227,0.030145,0.026598,0.031030,0.026826
R-SFT-4000,0.022544,0.022544,0.027959,0.025762,0.029156,0.026253,0.030406,0.026666,0.031603,0.026978
R-SFT-5000,0.022336,0.022336,0.028011,0.025698,0.028792,0.026021,0.030041,0.026417,0.031343,0.026747
R-SFT-6000,0.022388,0.022388,0.028063,0.025771,0.029885,0.026514,0.031343,0.026980,0.032280,0.027222
R-SFT-7000,0.022596,0.022596,0.028323,0.025991,0.029260,0.026379,0.030978,0.026931,0.032280,0.027264
R-SFT-8000,0.022544,0.022544,0.027594,0.025533,0.029104,0.026160,0.030926,0.026740,0.031603,0.026916
R-SFT-9000,0.022804,0.022804,0.027959,0.025845,0.029156,0.026347,0.031082,0.026969,0.031915,0.027183
R-SFT-10000,0.022127,0.022127,0.027490,0.025286,0.028687,0.025776,0.029937,0.026190,0.030978,0.026456
R-SFT-11000,0.021919,0.021919,0.028427,0.025773,0.029416,0.026183,0.030718,0.026613,0.031395,0.026779
R-SFT-12000,0.022804,0.022804,0.027542,0.025637,0.028948,0.026215,0.030301,0.026647,0.031395,0.026932
R-SFT-13000,0.022127,0.022127,0.027698,0.025458,0.028635,0.025843,0.030301,0.026386,0.030718,0.026494
R-SFT-14000,0.022388,0.022388,0.027594,0.025482,0.028583,0.025892,0.029833,0.026295,0.030822,0.026545
R-SFT-15000,0.023012,0.023012,0.028063,0.025974,0.029312,0.026494,0.030301,0.026824,0.031030,0.027019
R-SFT-early-2134,0.019680,0.019680,0.025824,0.023379,0.026709,0.023740,0.027646,0.024040,0.028011,0.024136
R-SFT-early-4268,0.019524,0.019524,0.025980,0.023407,0.027073,0.023866,0.027906,0.024140,0.028219,0.024219
R-SFT-early-6402,0.020045,0.020045,0.025824,0.023568,0.027126,0.024111,0.027802,0.024332,0.028063,0.024400
R-SFT-early-8536,0.019368,0.019368,0.026501,0.023630,0.027959,0.024230,0.028427,0.024388,0.028792,0.024481
R-SFT-early-10670,0.019524,0.019524,0.025928,0.023340,0.027126,0.023842,0.027959,0.024116,0.028323,0.024209
R-SFT-early-12804,0.019941,0.019941,0.025980,0.023526,0.027230,0.024048,0.027906,0.024267,0.028115,0.024320
R-SFT-early-14938,0.020253,0.020253,0.025720,0.023511,0.026813,0.023962,0.027750,0.024270,0.028063,0.024351
R-SFT-early-17072,0.019889,0.019889,0.025616,0.023332,0.026709,0.023791,0.027542,0.024061,0.027854,0.024141
R-SFT-early-19206,0.019472,0.019472,0.026397,0.023589,0.027698,0.024138,0.028740,0.024473,0.028896,0.024516a
R-SFT-early-21340,0.019420,0.019420,0.026292,0.023545,0.027334,0.023977,0.028011,0.024204,0.028271,0.024271
R-SFT-early-23474,0.019941,0.019941,0.026084,0.023565,0.027230,0.024044,0.028427,0.024424,0.028844,0.024531
R-SFT-early-25608,0.019732,0.019732,0.025459,0.023121,0.027021,0.023764,0.027906,0.024060,0.028167,0.024127
R-SFT-early-27742,0.019576,0.019576,0.025772,0.023267,0.027178,0.023852,0.027854,0.024074,0.028063,0.024127
R-SFT-early-29876,0.019628,0.019628,0.025772,0.023266,0.027126,0.023831,0.027698,0.024016,0.028115,0.024127
R-SFT-early-32010,0.019889,0.019889,0.026032,0.023519,0.027646,0.024189,0.028323,0.024411,0.028687,0.024504
R-SFT-early-34144,0.019732,0.019732,0.025824,0.023378,0.027178,0.023943,0.027698,0.024111,0.028063,0.024208
R-SFT-early-36278,0.018951,0.018951,0.026032,0.023092,0.026969,0.023482,0.027802,0.023747,0.028271,0.023867
R-SFT-early-38412,0.019368,0.019368,0.025303,0.022929,0.026449,0.023406,0.027178,0.023648,0.027646,0.023774
R-SFT-early-40546,0.020461,0.020461,0.026136,0.023837,0.026969,0.024176,0.027959,0.024509,0.028271,0.024590
R-SFT-early-42680,0.019316,0.019316,0.025980,0.023296,0.027021,0.023730,0.027802,0.023991,0.028011,0.024045
R-SFT-early-44814,0.019628,0.019628,0.026032,0.023457,0.026917,0.023823,0.027438,0.023989,0.027802,0.024083
R-SFT-early-46948,0.019889,0.019889,0.026136,0.023626,0.027386,0.024144,0.027802,0.024279,0.028167,0.024372
R-SFT-early-48060,0.020461,0.020461,0.026240,0.023835,0.027334,0.024287,0.028063,0.024529,0.028427,0.024622
