jsonl_name,HR@1,NDCG@1,HR@3,NDCG@3,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20
FS-SFT-135072,0.010405,0.010405,0.016185,0.013749,0.018960,0.014903,0.021040,0.015589,0.021503,0.015716
FS-SFT-141504,0.013179,0.013179,0.018960,0.016493,0.021272,0.017448,0.024046,0.018345,0.024740,0.018523
FS-SFT-147936,0.012023,0.012023,0.019191,0.016273,0.022890,0.017816,0.024971,0.018503,0.025665,0.018685
FS-SFT-154368,0.014104,0.014104,0.020347,0.017770,0.023584,0.019094,0.025896,0.019850,0.026590,0.020029
FS-SFT-160800,0.015723,0.015723,0.022890,0.019760,0.025202,0.020706,0.027746,0.021531,0.028902,0.021824
FS-SFT-167232,0.017572,0.017572,0.024971,0.021998,0.027052,0.022884,0.029364,0.023657,0.030520,0.023960
FS-SFT-173664,0.017803,0.017803,0.024740,0.021817,0.027052,0.022762,0.029364,0.023510,0.030289,0.023741
FS-SFT-180096,0.018960,0.018960,0.025665,0.022978,0.027052,0.023545,0.029595,0.024373,0.031214,0.024776
FS-SFT-186528,0.018497,0.018497,0.026821,0.023295,0.028439,0.023971,0.030751,0.024706,0.031908,0.025001
FS-SFT-192960,0.020578,0.020578,0.028208,0.025059,0.030520,0.026035,0.032832,0.026790,0.034220,0.027150
FS-SFT-199392,0.019191,0.019191,0.027746,0.024255,0.029827,0.025101,0.030751,0.025403,0.031676,0.025653
FS-SFT-212256,0.018960,0.018960,0.027977,0.024225,0.030520,0.025280,0.031676,0.025659,0.032601,0.025888
FS-SFT-218688,0.020116,0.020116,0.027283,0.024244,0.029133,0.025041,0.030520,0.025500,0.031445,0.025741
R-SFT-480,0.020578,0.020578,0.029827,0.025899,0.031676,0.026655,0.033295,0.027189,0.034682,0.027551
R-SFT-960,0.020116,0.020116,0.029364,0.025769,0.030983,0.026426,0.033988,0.027403,0.034451,0.027515
R-SFT-1440,0.020578,0.020578,0.028208,0.024938,0.031445,0.026292,0.032601,0.026691,0.033757,0.026986
R-SFT-1920,0.021272,0.021272,0.029364,0.026135,0.031676,0.027080,0.033757,0.027724,0.033757,0.027724
R-SFT-2400,0.020347,0.020347,0.027052,0.024396,0.030520,0.025849,0.033064,0.026691,0.033526,0.026808
R-SFT-2880,0.021272,0.021272,0.028671,0.025788,0.030751,0.026654,0.032601,0.027239,0.033064,0.027354
R-SFT-early-480,0.017803,0.017803,0.026127,0.022752,0.028902,0.023907,0.031676,0.024813,0.033064,0.025180
R-SFT-early-960,0.017110,0.017110,0.024509,0.021475,0.027746,0.022839,0.031445,0.024070,0.032370,0.024287
R-SFT-early-1440,0.018960,0.018960,0.025896,0.022973,0.028208,0.023928,0.030983,0.024816,0.032139,0.025107
R-SFT-early-1920,0.016879,0.016879,0.024046,0.021068,0.027052,0.022332,0.030058,0.023309,0.031676,0.023722
R-SFT-early-2400,0.017341,0.017341,0.026590,0.022752,0.028439,0.023498,0.030289,0.024115,0.032139,0.024578
R-SFT-early-2880,0.015491,0.015491,0.023815,0.020440,0.027514,0.021983,0.030751,0.023032,0.032601,0.023514
R-SFT-early-3360,0.015029,0.015029,0.024046,0.020325,0.027052,0.021589,0.029133,0.022278,0.030289,0.022572
R-SFT-early-3840,0.017341,0.017341,0.024509,0.021591,0.027746,0.022965,0.029827,0.023648,0.031214,0.023988
R-SFT-early-4320,0.016879,0.016879,0.027052,0.022813,0.028902,0.023589,0.029827,0.023904,0.031908,0.024434
R-SFT-early-4800,0.017572,0.017572,0.026358,0.022692,0.028902,0.023737,0.030751,0.024332,0.031908,0.024617
R-SFT-early-5280,0.018960,0.018960,0.025896,0.023003,0.028439,0.024058,0.030983,0.024903,0.031908,0.025136
R-SFT-early-5760,0.017110,0.017110,0.024277,0.021481,0.025896,0.022158,0.029364,0.023312,0.030751,0.023692
R-SFT-early-6240,0.016647,0.016647,0.022890,0.020283,0.026821,0.021926,0.029595,0.022876,0.031445,0.023336
R-SFT-early-6720,0.018960,0.018960,0.025896,0.023094,0.029133,0.024407,0.030289,0.024788,0.031214,0.025021
R-SFT-early-7200,0.018497,0.018497,0.025665,0.022656,0.027514,0.023422,0.030289,0.024346,0.030751,0.024461
R-SFT-early-7680,0.015954,0.015954,0.022659,0.019942,0.025896,0.021286,0.027977,0.021962,0.029827,0.022442
R-SFT-early-8160,0.017341,0.017341,0.024277,0.021415,0.027283,0.022648,0.029133,0.023258,0.030058,0.023490
R-SFT-early-8640,0.016416,0.016416,0.024971,0.021450,0.028208,0.022774,0.030289,0.023467,0.031676,0.023822
R-SFT-early-9120,0.015491,0.015491,0.024046,0.020616,0.027283,0.021990,0.029827,0.022817,0.031908,0.023341
R-SFT-early-9600,0.018035,0.018035,0.025202,0.022133,0.028439,0.023436,0.030058,0.023975,0.031676,0.024405
R-SFT-early-10080,0.017572,0.017572,0.023584,0.021244,0.026127,0.022309,0.029133,0.023329,0.030289,0.023630
R-SFT-early-10400,0.015954,0.015954,0.024740,0.021164,0.026821,0.022030,0.028671,0.022664,0.029595,0.022903
R-SFT-early-10560,0.015029,0.015029,0.022659,0.019419,0.027052,0.021230,0.030058,0.022238,0.031214,0.022542
R-SFT-early-10845,0.017572,0.017572,0.024046,0.021354,0.028208,0.023076,0.030289,0.023768,0.030751,0.023895
